REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal,REVEAL__big_blur_euclidean,LRP__big_blur_euclidean,Same_Classification__big_blur
0.0006311172235357,0.001722742896743,True,,,,,,,,,,,,,,,
,,,0.0001964569593207,0.0006139279451303,True,,,,,,,,,,,,
,,,,,,0.0003064899371728,0.0007361702999004,True,,,,,,,,,
,,,,,,,,,0.0023145594518535,0.0050338350920077,True,,,,,,
,,,,,,,,,,,,0.0006195379037737,0.003685099503066,True,,,
,,,,,,,,,,,,,,,0.0002033928677507,0.0052487134389403,True
0.000903661305139,0.0017942209298067,True,,,,,,,,,,,,,,,
,,,0.0008773193077129,0.0003391433519605,True,,,,,,,,,,,,
,,,,,,0.000502967256988,0.0009852654881708,True,,,,,,,,,
,,,,,,,,,0.0037982488056772,0.0077126709446784,False,,,,,,
,,,,,,,,,,,,0.0013171137546574,0.002836867207071,True,,,
,,,,,,,,,,,,,,,0.0025056881445873,0.004354460747117,False
0.0003441458067192,0.0008922313953516,True,,,,,,,,,,,,,,,
,,,0.0001774254102929,0.0005232676361361,True,,,,,,,,,,,,
,,,,,,0.0001702970055442,0.0005849611814741,True,,,,,,,,,
,,,,,,,,,0.0026257123111728,0.0057763745367864,False,,,,,,
,,,,,,,,,,,,0.0004586845176776,0.0038333253168236,False,,,
,,,,,,,,,,,,,,,0.0014324526336802,0.0026750650553614,True
0.0008260141575776,0.0009862521335011,True,,,,,,,,,,,,,,,
,,,0.0002884890790455,0.0006370811504612,True,,,,,,,,,,,,
,,,,,,0.0002349398348281,0.0010844886548745,True,,,,,,,,,
,,,,,,,,,0.0019222058107274,0.0069998326653092,False,,,,,,
,,,,,,,,,,,,0.002025924604302,0.0032559922380334,True,,,
,,,,,,,,,,,,,,,0.0015774130991196,0.002587175651581,True
0.0005197343651174,0.0018857149379796,False,,,,,,,,,,,,,,,
,,,0.0005453960365131,0.0006207061169472,True,,,,,,,,,,,,
,,,,,,0.0006457029886761,0.0010184116751462,False,,,,,,,,,
,,,,,,,,,0.0040461722740632,0.0063043694350928,False,,,,,,
,,,,,,,,,,,,0.0010520062418638,0.0033296778214954,False,,,
,,,,,,,,,,,,,,,0.0026392695405346,0.0068667849078231,False
0.0006887743913034,0.0028552292569997,False,,,,,,,,,,,,,,,
,,,4.9469189903249576e-05,0.0005064519336009,True,,,,,,,,,,,,
,,,,,,0.0001473057503882,0.0015176602398119,True,,,,,,,,,
,,,,,,,,,0.0007723103421534,0.0115787253571553,False,,,,,,
,,,,,,,,,,,,0.0006110617833454,0.0050808282721898,False,,,
,,,,,,,,,,,,,,,0.001265235236091,0.008354319872159,False
0.0007114749817109,0.0024470544817324,True,,,,,,,,,,,,,,,
,,,0.0005236325449952,0.0004934783688529,True,,,,,,,,,,,,
,,,,,,0.0004949930206606,0.0011351981263527,True,,,,,,,,,
,,,,,,,,,0.003784541403442,0.007801986348547,False,,,,,,
,,,,,,,,,,,,0.0008222970381497,0.0032775698051997,True,,,
,,,,,,,,,,,,,,,0.0040336234049948,0.0067624172061814,False
0.0006386743746604,0.0009793979596354,True,,,,,,,,,,,,,,,
,,,0.000559843151014,0.0005518960138266,True,,,,,,,,,,,,
,,,,,,0.0006094096686956,0.0006731840542845,True,,,,,,,,,
,,,,,,,,,0.0046502831294411,0.0049701254830374,False,,,,,,
,,,,,,,,,,,,0.0013198306741118,0.0026747700868191,True,,,
,,,,,,,,,,,,,,,0.0012316889165853,0.0030686915376385,False
0.0008715134347023,0.0015115652002521,True,,,,,,,,,,,,,,,
,,,0.0005220199794097,0.0006458123455984,True,,,,,,,,,,,,
,,,,,,0.0011231728949427,0.0021679198755818,False,,,,,,,,,
,,,,,,,,,0.0031550228677554,0.0079185873958029,False,,,,,,
,,,,,,,,,,,,0.0015183435515834,0.0034566858129849,False,,,
,,,,,,,,,,,,,,,0.00167861730113,0.0042780255806359,True
0.0001116207713425,0.0006767107845377,True,,,,,,,,,,,,,,,
,,,0.0006359530596183,0.0005832535246078,True,,,,,,,,,,,,
,,,,,,0.0009728323445103,0.0021039940355857,True,,,,,,,,,
,,,,,,,,,0.0031895879670111,0.0079659186322225,False,,,,,,
,,,,,,,,,,,,0.000421105232639,0.0033910719276333,True,,,
,,,,,,,,,,,,,,,0.000116076952389,0.002089582915578,False
0.0003392954931711,0.0013185156103959,True,,,,,,,,,,,,,,,
,,,0.0003537155432108,0.0006692240836865,True,,,,,,,,,,,,
,,,,,,0.0003092654637229,0.0016637338379212,True,,,,,,,,,
,,,,,,,,,0.0023309599697187,0.0062356191425824,False,,,,,,
,,,,,,,,,,,,0.0005689422123235,0.002969101812328,True,,,
,,,,,,,,,,,,,,,0.0013910562432819,0.0042181210290512,False
0.0004815438148638,0.0016548999629982,True,,,,,,,,,,,,,,,
,,,0.0004158771905093,0.0003978999212058,True,,,,,,,,,,,,
,,,,,,0.000553831449097,0.0015444991539818,True,,,,,,,,,
,,,,,,,,,0.0042319381305503,0.0076987973744725,False,,,,,,
,,,,,,,,,,,,0.0002143292860365,0.0029478952924001,True,,,
,,,,,,,,,,,,,,,0.0029510668250845,0.0046655043596324,True
0.0002759155032163,0.0015233006948874,True,,,,,,,,,,,,,,,
,,,0.0002756916457845,0.0005266482724747,True,,,,,,,,,,,,
,,,,,,0.0004124769541377,0.0008771957959002,True,,,,,,,,,
,,,,,,,,,0.0035811661080951,0.0085121368682285,False,,,,,,
,,,,,,,,,,,,0.0002628839384629,0.0035414766007711,True,,,
,,,,,,,,,,,,,,,0.0009407125777348,0.0045891847518125,True
0.0002799810125334,0.0011745503978562,True,,,,,,,,,,,,,,,
,,,0.000265200162025,0.0004180030878143,True,,,,,,,,,,,,
,,,,,,0.0008782220967775,0.0012801142144068,True,,,,,,,,,
,,,,,,,,,0.0031109216747389,0.0070752244751929,False,,,,,,
,,,,,,,,,,,,0.0023684327835926,0.0031382544609754,True,,,
,,,,,,,,,,,,,,,0.0029750952102135,0.0036112538699495,True
0.0003747913957997,0.0015217476353657,True,,,,,,,,,,,,,,,
,,,0.0002530559198808,0.0003484836221684,True,,,,,,,,,,,,
,,,,,,0.0003290578726693,0.0006362160360993,True,,,,,,,,,
,,,,,,,,,0.0013489161546634,0.0054788546835599,True,,,,,,
,,,,,,,,,,,,0.0004404608807546,0.0031551238126497,True,,,
,,,,,,,,,,,,,,,0.0006202288047156,0.0036800651267983,True
0.0008078906890135,0.0013011958606291,True,,,,,,,,,,,,,,,
,,,0.0004993652330075,0.0004367309236652,True,,,,,,,,,,,,
,,,,,,0.0003363346388764,0.0006012392770182,True,,,,,,,,,
,,,,,,,,,0.0046535821215006,0.00803271520462,False,,,,,,
,,,,,,,,,,,,0.0008241813647914,0.0027252048842401,True,,,
,,,,,,,,,,,,,,,0.0008958698404073,0.0033008822199391,True
0.0008184407815029,0.0008821389882634,True,,,,,,,,,,,,,,,
,,,8.063567199422058e-05,0.0004474867601122,False,,,,,,,,,,,,
,,,,,,0.000264636970287,0.0023285999258117,True,,,,,,,,,
,,,,,,,,,0.0022119827776852,0.0055702700243013,False,,,,,,
,,,,,,,,,,,,0.0006746696346465,0.0026296216729697,False,,,
,,,,,,,,,,,,,,,0.0023309216674421,0.0038606350032838,False
0.000273832832746,0.0028774108506517,True,,,,,,,,,,,,,,,
,,,0.0006456520370076,0.0006883825641958,True,,,,,,,,,,,,
,,,,,,0.0005193947450492,0.0043482719831658,True,,,,,,,,,
,,,,,,,,,0.0024563186330963,0.0154160262316048,False,,,,,,
,,,,,,,,,,,,0.0027122366275816,0.0047230975960887,True,,,
,,,,,,,,,,,,,,,0.0013576985391117,0.0087173586440178,False
0.0004167416335379,0.0012977895995975,True,,,,,,,,,,,,,,,
,,,0.0005203190012661,0.0004233171442829,True,,,,,,,,,,,,
,,,,,,0.0009809078495132,0.0020570080412771,True,,,,,,,,,
,,,,,,,,,0.001493751729653,0.0066709180658863,False,,,,,,
,,,,,,,,,,,,0.0049814541517856,0.0029441271282379,True,,,
,,,,,,,,,,,,,,,0.0022741081758935,0.0034660830824818,True
0.0006760051792081,0.0015919162581158,True,,,,,,,,,,,,,,,
,,,0.0002932306824873,0.0005122435965258,True,,,,,,,,,,,,
,,,,,,0.0002674797771652,0.0008237626102193,True,,,,,,,,,
,,,,,,,,,0.0019481340509657,0.0069940723517779,False,,,,,,
,,,,,,,,,,,,0.0012286693613169,0.0030087001271385,True,,,
,,,,,,,,,,,,,,,0.0006524231507962,0.0041397552934903,True
0.000685518666403,0.0020469270228475,False,,,,,,,,,,,,,,,
,,,0.0006961661501694,0.0006151221098166,True,,,,,,,,,,,,
,,,,,,0.0008468117294566,0.000960596258189,True,,,,,,,,,
,,,,,,,,,0.0010870935621595,0.0067821837600831,False,,,,,,
,,,,,,,,,,,,0.0017170882566888,0.0035187565100797,False,,,
,,,,,,,,,,,,,,,0.000632880847547,0.0052027687867707,False
0.0002944579579079,0.0023935749004291,False,,,,,,,,,,,,,,,
,,,0.0005115696719025,0.0005638031057368,True,,,,,,,,,,,,
,,,,,,0.0010583369673347,0.0016842831764641,False,,,,,,,,,
,,,,,,,,,0.0049185070832388,0.0086496411612915,False,,,,,,
,,,,,,,,,,,,0.0022606226588653,0.0037560445039112,False,,,
,,,,,,,,,,,,,,,0.0011583724588206,0.0082299863077105,False
0.0003011520844462,0.0007534886908386,True,,,,,,,,,,,,,,,
,,,0.0004637951193746,0.0005027959354254,True,,,,,,,,,,,,
,,,,,,0.0004460071465548,0.0009603366512041,True,,,,,,,,,
,,,,,,,,,0.0021896829637249,0.0076862355251556,False,,,,,,
,,,,,,,,,,,,0.0017579336067338,0.0029667937645984,True,,,
,,,,,,,,,,,,,,,0.0015773398449153,0.0026628715026645,True
0.0003628264145433,0.001451554949812,True,,,,,,,,,,,,,,,
,,,0.0003310743228777,0.0006943698775246,True,,,,,,,,,,,,
,,,,,,0.0003412709511152,0.0015271697941367,True,,,,,,,,,
,,,,,,,,,0.0030468842714596,0.0063735427214431,True,,,,,,
,,,,,,,,,,,,0.0017491254379773,0.0034151817752702,True,,,
,,,,,,,,,,,,,,,0.0006378768920718,0.0041864357955303,True
9.41183300227544e-05,0.0015924131958204,True,,,,,,,,,,,,,,,
,,,0.0003563765416322,0.0005714302862504,True,,,,,,,,,,,,
,,,,,,0.0004008939447771,0.0007885535877131,True,,,,,,,,,
,,,,,,,,,0.0017862309910005,0.0086685483281366,False,,,,,,
,,,,,,,,,,,,0.0005248734365775,0.0047645912319356,True,,,
,,,,,,,,,,,,,,,0.0012533817603193,0.0054571999521553,True
0.0006264603654806,0.0010897527254844,True,,,,,,,,,,,,,,,
,,,0.0007092106833356,0.0004560843963757,True,,,,,,,,,,,,
,,,,,,0.0019783883439295,0.0012520014888412,True,,,,,,,,,
,,,,,,,,,0.003064769890297,0.0068067065909565,False,,,,,,
,,,,,,,,,,,,0.0018820429166429,0.0027322259035137,True,,,
,,,,,,,,,,,,,,,0.0021526668091667,0.0029972520837844,False
0.0008853436234655,0.0020202705144421,True,,,,,,,,,,,,,,,
,,,0.0004340952028066,0.000425210283777,True,,,,,,,,,,,,
,,,,,,0.001102560211929,0.001180682191107,True,,,,,,,,,
,,,,,,,,,0.0020558176380653,0.0065320472800058,False,,,,,,
,,,,,,,,,,,,0.0017418287081396,0.0035159873035766,True,,,
,,,,,,,,,,,,,,,0.0025772521835458,0.0063362250105286,False
0.0007561807041751,0.0009929250216003,True,,,,,,,,,,,,,,,
,,,0.0003677053894282,0.0004330777350038,True,,,,,,,,,,,,
,,,,,,0.0012149919122375,0.0016069634573858,True,,,,,,,,,
,,,,,,,,,0.003094965665987,0.007521471341913,False,,,,,,
,,,,,,,,,,,,0.0026229647989963,0.0033611055054492,True,,,
,,,,,,,,,,,,,,,0.0035771537879289,0.0024542476089803,False
0.0008867750156497,0.0011054824168453,True,,,,,,,,,,,,,,,
,,,0.0005738515570659,0.0006562396459824,True,,,,,,,,,,,,
,,,,,,0.0015252630289088,0.0016131263930881,True,,,,,,,,,
,,,,,,,,,0.0044492569671549,0.0070568575525636,False,,,,,,
,,,,,,,,,,,,0.0016017487169159,0.0027278172590071,True,,,
,,,,,,,,,,,,,,,0.0015330718956965,0.0022808818534668,False
0.0010623696729742,0.0011955291512897,True,,,,,,,,,,,,,,,
,,,0.0003281130241935,0.0004614433806065,True,,,,,,,,,,,,
,,,,,,0.0011963852795374,0.0014127801511416,True,,,,,,,,,
,,,,,,,,,0.0014968259825349,0.0040800884354635,False,,,,,,
,,,,,,,,,,,,0.0014330915458139,0.0029649833139573,True,,,
,,,,,,,,,,,,,,,0.001067670411619,0.0028845510389375,True
0.0011288763483001,0.0014968025853228,True,,,,,,,,,,,,,,,
,,,0.0015456325981717,0.0005015891241281,True,,,,,,,,,,,,
,,,,,,0.0021816755731068,0.0031531649246245,True,,,,,,,,,
,,,,,,,,,0.0067021033005124,0.0093960644812841,False,,,,,,
,,,,,,,,,,,,0.0011295438468139,0.0030114357998438,True,,,
,,,,,,,,,,,,,,,0.0023090284814222,0.0043747447981195,True
0.0010816983545345,0.0009961144643285,True,,,,,,,,,,,,,,,
,,,0.0004361479256784,0.0004262510411391,True,,,,,,,,,,,,
,,,,,,0.0008510805424949,0.0020939925552703,True,,,,,,,,,
,,,,,,,,,0.0045331842585252,0.0075109065499802,False,,,,,,
,,,,,,,,,,,,0.002008961030199,0.0029042627109802,True,,,
,,,,,,,,,,,,,,,0.003354101399013,0.0023645642351962,True
0.0005821787188968,0.0019871634074335,True,,,,,,,,,,,,,,,
,,,5.014247677384668e-05,0.0004448896051708,True,,,,,,,,,,,,
,,,,,,0.0003661733714303,0.0014393097868755,True,,,,,,,,,
,,,,,,,,,0.0008552411753632,0.0109946227464248,False,,,,,,
,,,,,,,,,,,,0.0018179347406782,0.0042504683607145,True,,,
,,,,,,,,,,,,,,,0.0005301772368471,0.0050707791260033,True
0.0007123779388661,0.0013056959453804,True,,,,,,,,,,,,,,,
